Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04082963180541992
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04112860870361328
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04046860885620117
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04112160110473633
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.040421440124511716
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04042303848266601
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04117603302001953
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.040774463653564456
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04175795364379883
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04186236953735351
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04270223999023438
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.041842784881591794
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.041448127746582034
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04214220809936523
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04233193588256836
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.042070945739746096
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.042171009063720705
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.042295646667480466
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04202489471435547
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04204995346069336
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04188633728027344
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04269583892822266
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.041764801025390624
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04194332885742187
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04209100723266602
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.041976512908935545
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04171091079711914
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04220169448852539
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04270451354980469
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.0418897590637207
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04199647903442383
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.041975105285644534
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04196092987060547
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04150806427001953
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04232191848754883
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.042332576751708983
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.042270591735839844
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04221491241455078
(64, 64, 64, 64, 512);(5, 58, 42, 23);(5, 58, 42, 23);0.04225676727294922
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.041833568572998046
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04219827270507812
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04223788833618164
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04255721664428711
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.042153793334960936
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04208035278320312
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.042008544921875
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04164252853393555
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04235449600219727
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.0423914566040039
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04233203125
(64, 64, 64, 64, 1024);(35, 63, 12, 37);(35, 63, 12, 37);0.04219184112548828
